wavenumber,component-0,component-1,component-2,component-3,component-4,component-5,component-6,component-7
222.70732012,0.11658685,-0.0,-0.0,0.107465215,0.7920046,-0.0,3.61724e-06,-0.0
226.21259487,0.119662784,3.1361495e-05,-0.0,0.10669313,0.79207224,-0.0,-0.0,-0.0
229.71646719,0.122424714,-0.0,-0.0,0.105526365,0.79051924,-0.0,-0.0,-0.0
233.21893786,0.12648204,-0.0,-0.0,0.10389755,0.7924757,-0.0,3.5243567e-05,-0.0
236.72000769,0.1307736,-0.0,-0.0,0.100130476,0.7932136,-0.0,3.4916397e-05,-0.0
240.21967746,0.13336681,-0.0,-0.0,0.09881819,0.79207915,-0.0,3.3037642e-05,-0.0
243.71794796,0.1363968,-0.0,-0.0,0.09703354,0.7948752,-0.0,-0.0,-0.0
247.21481997,0.13736984,-0.0,-0.0,0.09732075,0.7967498,-0.0,-0.0,-0.0
250.7102943,0.13643797,-0.0,-0.0,0.09938889,0.7967277,-0.0,7.780373e-06,-0.0
254.20437171,0.13573742,-0.0,-0.0,0.09996104,0.7992419,-0.0,-0.0,-0.0
257.69705301,0.13362566,-0.0,-0.0,0.10143207,0.80302864,-0.0,-0.0,-0.0
261.18833897,0.13126552,-0.0,-0.0,0.10199809,0.8042734,-0.0,-0.0,-0.0
264.67823039,0.12967694,-0.0,-0.0,0.10029967,0.80807364,-0.0,-0.0,-0.0
268.16672804,0.12846874,-0.0,-0.0,0.098090954,0.81252915,-0.0,-0.0,-0.0
271.65383271,0.12745641,-0.0,-0.0,0.0961326,0.81607956,-0.0,-0.0,-0.0
275.13954519,0.12729996,1.3491595e-05,-0.0,0.092681505,0.8190503,-0.0,-0.0,-0.0
278.62386626,0.12804209,4.485559e-05,-0.0,0.09103239,0.8254523,-0.0,-0.0,-0.0
282.10679669,0.12853387,-0.0,-0.0,0.08855682,0.8305118,-0.0,-0.0,-0.0
285.58833728,0.12936409,1.8079365e-05,-0.0,0.087301835,0.83586776,-0.0,-0.0,-0.0
289.06848881,0.13177739,4.299732e-05,-0.0,0.08479509,0.8443085,-0.0,-0.0,-0.0
292.54725205,0.1342232,2.445011e-05,-0.0,0.08300593,0.8543734,-0.0,-0.0,-0.0
296.02462778,0.13621753,-0.0,-0.0,0.08290229,0.863131,-0.0,-0.0,-0.0
299.50061679,0.13819829,6.280883e-05,-0.0,0.083457164,0.871422,-0.0,-0.0,-0.0
302.97521986,0.1397672,-0.0,-0.0,0.08521662,0.8756553,-0.0,-0.0,-0.0
306.44843776,0.14054967,-0.0,-0.0,0.08791079,0.87420857,-0.0,-0.0,-0.0
309.92027126,0.13970266,9.821648e-05,-0.0,0.09311941,0.8688133,-0.0,-0.0,-0.0
313.39072116,0.13845153,0.00012301291,-0.0,0.09999175,0.8627338,-0.0,-0.0,-0.0
316.85978822,0.13691352,0.00016036548,-0.0,0.10530949,0.85452074,-0.0,1.8681301e-05,-0.0
320.32747322,0.13617401,0.00019174672,-0.0,0.10926189,0.8476196,-0.0,-0.0,-0.0
323.79377694,0.1366132,6.184906e-05,-0.0,0.111252144,0.84311044,-0.0,-0.0,-0.0
327.25870015,0.13758394,5.8017064e-05,-0.0,0.112135805,0.8384673,-0.0,-0.0,-0.0
330.72224363,0.14013255,5.3933592e-05,-0.0,0.110569425,0.8348906,-0.0,-0.0,-0.0
334.18440815,0.14324953,7.749965e-05,-0.0,0.10843195,0.8330574,-0.0,-0.0,-0.0
337.64519448,0.14679787,6.219901e-05,-0.0,0.10569088,0.83076537,-0.0,-0.0,-0.0
341.10460339,0.15034996,-0.0,-0.0,0.10244108,0.82908356,-0.0,-0.0,-0.0
