two_theta,component-0,component-1,component-2,component-3,component-4,component-5,component-6,component-7
0.8,0.031513713,0.026637498,-0.0,-0.0,0.18918903,-0.0,0.23364265,0.31583625
0.81808,-0.0,-0.0,-0.0,0.08528142,0.17602009,-0.0,-0.0,-0.0
0.83616,-0.0,-0.0,-0.0,0.051047564,0.1960825,-0.0,-0.0,-0.0
0.85424,-0.0,-0.0,-0.0,-0.0,0.20116493,-0.0,-0.0,-0.0
0.87232,-0.0,-0.0,-0.0,-0.0,0.20731059,-0.0,-0.0,-0.0
0.8904,-0.0,-0.0,-0.0,-0.0,0.21005435,-0.0,-0.0,-0.0
0.90848,-0.0,-0.0,-0.0,-0.0,0.21382533,-0.0,-0.0,-0.0
0.92656,-0.0,-0.0,-0.0,-0.0,0.21587153,-0.0,-0.0,-0.0
0.94464,-0.0,-0.0,-0.0,-0.0,0.21801633,-0.0,-0.0,-0.0
0.96272,-0.0,-0.0,-0.0,-0.0,0.21926694,-0.0,-0.0,-0.0
0.9808,-0.0,-0.0,-0.0,-0.0,0.22206524,-0.0,-0.0,-0.0
0.99888,-0.0,-0.0,-0.0,-0.0,0.22323878,-0.0,-0.0,-0.0
1.01696,-0.0,-0.0,-0.0,-0.0,0.22457686,-0.0,-0.0,-0.0
1.03504,-0.0,-0.0,-0.0,-0.0,0.22673352,-0.0,-0.0,-0.0
1.05312,-0.0,-0.0,-0.0,-0.0,0.22856735,-0.0,-0.0,-0.0
1.0712,-0.0,-0.0,-0.0,-0.0,0.22976202,-0.0,-0.0,-0.0
1.08928,-0.0,-0.0,-0.0,-0.0,0.23147868,-0.0,-0.0,-0.0
1.10736,-0.0,-0.0,-0.0,-0.0,0.23319824,-0.0,-0.0,-0.0
1.12544,-0.0,-0.0,-0.0,-0.0,0.23524867,-0.0,-0.0,-0.0
1.14352,-0.0,-0.0,-0.0,-0.0,0.23675464,-0.0,-0.0,-0.0
1.1616,-0.0,-0.0,-0.0,-0.0,0.23840132,-0.0,-0.0,-0.0
1.17968,-0.0,-0.0,-0.0,-0.0,0.24000782,-0.0,-0.0,-0.0
1.19776,-0.0,-0.0,-0.0,-0.0,0.24204454,-0.0,-0.0,-0.0
1.21584,-0.0,-0.0,-0.0,-0.0,0.24428591,-0.0,-0.0,-0.0
1.23392,-0.0,-0.0,-0.0,-0.0,0.24577273,-0.0,-0.0,-0.0
1.252,-0.0,-0.0,-0.0,-0.0,0.24882145,-0.0,-0.0,-0.0
1.27008,-0.0,-0.0,-0.0,-0.0,0.2516738,-0.0,-0.0,-0.0
1.28816,-0.0,1.5875132e-06,-0.0,-0.0,0.25470796,-0.0,-0.0,-0.0
1.30624,-0.0,0.0015440444,-0.0,-0.0,0.25956726,-0.0,-0.0,-0.0
