two_theta,component-0,component-1,component-2,component-3,component-4,component-5,component-6,component-7
0.8,-0.0,0.7698304,0.09338219,-0.0,0.6904225,0.057251196,-0.0,-0.0
0.83616,-0.0,3.3009455e-05,0.29287457,-0.0,0.7156105,4.752419e-06,-0.0,0.007150319
0.87232,-0.0,-0.0,0.3487194,-0.0,0.75711036,0.0016361071,-0.0,0.007191532
0.90848,-0.0,-0.0,0.38062203,-0.0,0.77949166,0.00064815575,-0.0,0.008879716
0.94464,-0.0,-0.0,0.38365397,-0.0,0.7944143,0.0001227754,-0.0,0.009286735
0.9808,-0.0,-0.0,0.40263686,-0.0,0.8109804,0.0017402959,-0.0,0.009511482
1.01696,-0.0,-0.0,0.37495217,-0.0,0.8178255,0.00024249413,-0.0,0.009385851
1.05312,-0.0,-0.0,0.381808,-0.0,0.83361226,0.0028119045,-0.0,0.009090837
1.08928,-0.0,-0.0,0.36951855,-0.0,0.84408724,0.0011625116,-0.0,0.009909898
1.12544,-0.0,-0.0,0.37645122,-0.0,0.8591121,0.0031061152,-0.0,0.009954221
1.1616,-0.0,-0.0,0.37129584,-0.0,0.87088335,0.002222452,-0.0,0.01034983
1.19776,-0.0,-0.0,0.36810595,-0.0,0.8854839,0.004258069,-0.0,0.00817198
1.23392,-0.0,-0.0,0.33880225,-0.0,0.90101695,0.0054864595,-0.0,0.004721912
1.27008,-0.0,-0.0,0.37424386,-0.0,0.9273345,0.0060995123,-0.0,0.004057562
1.30624,-0.0,0.0025218397,0.49079904,-0.0,0.94653,0.0077852444,-0.0,0.005165711
1.3424,-0.0,0.07634944,0.647753,-0.0,0.97034854,0.011273884,-0.0,0.009591268
1.37856,-0.0,0.09284502,0.7211676,-0.0,0.9915816,0.014994096,-0.0,0.022096153
1.41472,-0.0,0.019838084,0.6410604,-0.0,0.9942633,0.016331265,-0.0,0.04230216
1.45088,-0.0,-0.0,0.52910477,-0.0,0.9953451,0.00990043,-0.0,0.06437275
1.48704,-0.0,-0.0,0.47774628,-0.0,1.0068895,0.04165194,-0.0,0.06506968
1.5232,-0.0,-0.0,0.44523472,-0.0,1.0210633,0.057326008,-0.0,0.039838027
1.55936,-0.0,-0.0,0.40926102,-0.0,1.0418665,0.042728603,-0.0,0.029361673
1.59552,-0.0,-0.0,0.43352413,-0.0,1.0702479,0.00014412096,-0.0,0.046696965
1.63168,-0.0,-0.0,0.44597048,-0.0,1.0897084,-0.0,-0.0,0.07366614
1.66784,-0.0,-0.0,0.420467,-0.0,1.1238402,-0.0,-0.0,0.11447041
1.704,-0.0,-0.0,0.37110928,-0.0,1.1688673,-0.0,-0.0,0.122027524
1.74016,-0.0,-0.0,0.36205533,-0.0,1.2161939,-0.0,-0.0,0.08181067
1.77632,-0.0,-0.0,0.38931042,-0.0,1.2473897,-0.0,-0.0,0.033800237
1.81248,-0.0,-0.0,0.44921076,-0.0,1.2800828,-0.0,-0.0,0.014842994
1.84864,-0.0,-0.0,0.47131938,-0.0,1.3187083,0.002388592,-0.0,0.0042974483
1.8848,-0.0,-0.0,0.47533122,-0.0,1.3694066,0.012213787,-0.0,-0.0
1.92096,-0.0,-0.0,0.48784545,-0.0,1.4311273,0.012419628,-0.0,-0.0
1.95712,-0.0,-0.0,0.4583297,-0.0,1.4960341,0.020763533,-0.0,-0.0
1.99328,-0.0,-0.0,0.42359784,-0.0,1.5800558,0.0015392693,-0.0,-0.0
2.02944,-0.0,-0.0,0.3909221,-0.0,1.6714909,-0.0,-0.0,-0.0
2.0656,-0.0,-0.0,0.3691916,-0.0,1.7650961,-0.0,-0.0,-0.0
2.10176,-0.0,-0.0,0.33837095,-0.0,1.8582789,-0.0,-0.0,-0.0
2.13792,-0.0,-0.0,0.3491922,-0.0,1.9693292,-0.0,-0.0,-0.0
2.17408,-0.0,-0.0,0.42492473,-0.0,2.077978,-0.0,-0.0,-0.0
2.21024,-0.0,0.058022488,0.6839512,-0.0,2.192106,-0.0,-0.0,-0.0
2.2464,-0.0,0.2159308,0.81990767,-0.0,2.3186464,-0.0,-0.0,-0.0
2.28256,-0.0,0.1985996,0.5532574,-0.0,2.4444146,-0.0,-0.0,-0.0
2.31872,-0.0,0.09505723,0.09253835,-0.0,2.5604403,0.013722243,-0.0,-0.0
2.35488,-0.0,0.06390194,-0.0,-0.0,2.6580343,0.066695474,-0.0,0.0037411018
2.39104,-0.0,0.1212209,-0.0,-0.0,2.7277663,0.13689144,-0.0,0.04625614
2.4272,-0.0,0.20598957,-0.0,-0.0,2.7732356,0.25120777,-0.0,0.091309
2.46336,-0.0,0.25013867,-0.0,-0.0,2.786058,0.31611422,-0.0,0.15850484
2.49952,-0.0,0.24319907,-0.0,-0.0,2.752713,0.2941259,-0.0,0.25473234
2.53568,-0.0,0.28520757,-0.0,-0.0,2.7313552,0.2635909,-0.0,0.3676535
2.57184,-0.0,0.3725247,-0.0,-0.0,2.7931018,0.39021683,-0.0,0.40441275
2.608,-0.0,0.5660192,-0.0,-0.0,3.0552897,0.4810688,-0.0,0.32100397
2.64416,-0.0,0.9773479,-0.0,-0.0,3.7225611,0.49273598,-0.0,0.23076738
2.68032,-0.0,1.9317988,0.86472315,0.09760205,4.810045,0.6006024,-0.0,0.21213494
2.71648,-0.0,2.687875,1.2368819,0.25458378,5.372525,0.7125109,-0.0,0.20383354
2.75264,-0.0,2.7902267,0.65970385,0.06601203,4.864343,0.4927312,-0.0,0.2266202
2.7888,-0.0,1.6434504,8.6090295e-06,-0.0,3.4956512,0.26303145,-0.0,0.25295395
2.82496,-0.0,0.55106246,-0.0,-0.0,2.2987447,0.1855285,-0.0,0.23988245
2.86112,-0.0,0.015084618,-0.0,-0.0,1.5658536,0.10379707,-0.0,0.22353287
2.89728,-0.0,1.1672265e-05,-0.0,-0.0,1.2139014,0.069562756,-0.0,0.22680181
2.93344,-0.0,2.6017495e-05,-0.0,-0.0,1.0103108,0.059742294,-0.0,0.26597217
2.9696,-0.0,0.008171728,2.8969755e-05,-0.0,0.8889916,0.092334285,-0.0,0.33506575
3.00576,-0.0,-0.0,5.649216e-05,-0.0,0.8027354,0.15745734,-0.0,0.39949733
3.04192,-0.0,-0.0,0.00015816413,-0.0,0.7384414,0.28316694,-0.0,0.4366964
3.07808,-0.0,-0.0,2.5830233e-05,-0.0,0.6883043,0.28681743,-0.0,0.44990227
3.11424,-0.0,-0.0,-0.0,-0.0,0.64979136,0.19468342,-0.0,0.42963782
3.1504,-0.0,-0.0,1.5243267e-05,-0.0,0.6166625,0.13082655,-0.0,0.39115268
3.18656,-0.0,-0.0,3.0439624e-05,-0.0,0.5884027,0.12916578,-0.0,0.37117374
3.22272,-0.0,-0.0,2.044846e-05,-0.0,0.5666753,0.21081862,-0.0,0.34752476
3.25888,-0.0,-0.0,0.0011719181,-0.0,0.55064607,0.24309932,-0.0,0.3060716
3.29504,-0.0,0.0029688885,2.0879525e-05,-0.0,0.53482026,0.15118709,-0.0,0.2945185
3.3312,-0.0,0.0190265,-0.0,-0.0,0.52347666,0.0939489,-0.0,0.3209436
3.36736,-0.0,0.019227922,-0.0,-0.0,0.51429915,0.12582666,-0.0,0.3453175
3.40352,-0.0,-0.0,-0.0,-0.0,0.5029868,0.39229843,-0.0,0.3636997
3.43968,-0.0,-0.0,-0.0,-0.0,0.49830914,0.6033752,-0.0,0.3783854
3.47584,-0.0,-0.0,-0.0,-0.0,0.4995952,0.5342145,-0.0,0.38828206
3.512,-0.0,-0.0,-0.0,-0.0,0.50028545,0.3015873,-0.0,0.37653774
3.54816,-0.0,-0.0,-0.0,-0.0,0.50270456,0.26278862,-0.0,0.370419
3.58432,-0.0,-0.0,-0.0,-0.0,0.50713265,0.30450243,-0.0,0.37655595
3.62048,-0.0,-0.0,-0.0,-0.0,0.5068676,0.27700484,-0.0,0.3873328
3.65664,-0.0,0.02422997,-0.0,-0.0,0.5039384,0.2505487,-0.0,0.39989704
3.6928,-0.0,0.028207267,-0.0,-0.0,0.5040423,0.2933148,-0.0,0.41305158
3.72896,-0.0,0.017733345,-0.0,-0.0,0.5080854,0.28558916,-0.0,0.41519377
3.76512,-0.0,6.5971806e-05,-0.0,-0.0,0.50960463,0.17945299,-0.0,0.40572256
3.80128,-0.0,-0.0,-0.0,-0.0,0.50668955,0.11607065,-0.0,0.40514645
3.83744,-0.0,-0.0,3.3361903e-06,-0.0,0.5017182,0.16759792,-0.0,0.42657274
3.8736,-0.0,-0.0,3.4527795e-05,-0.0,0.50015,0.21504627,-0.0,0.46612668
3.90976,-0.0,-0.0,0.011368665,-0.0,0.49983013,0.15814413,-0.0,0.5509814
3.94592,-0.0,-0.0,0.03736472,-0.0,0.49590093,0.13370316,-0.0,0.6852574
3.98208,-0.0,-0.0,0.04396842,-0.0,0.4957519,0.2693214,-0.0,0.77539974
4.01824,-0.0,-0.0,0.02876763,-0.0,0.5051792,0.50643265,-0.0,0.755116
4.0544,-0.0,-0.0,0.02484427,-0.0,0.51881874,0.45084253,-0.0,0.73141575
4.09056,-0.0,-0.0,0.015357949,-0.0,0.532957,0.3289835,-0.0,0.7854178
4.12672,-0.0,-0.0,6.396591e-05,-0.0,0.5482548,0.41324607,-0.0,0.8176933
4.16288,-0.0,-0.0,-0.0,-0.0,0.5619161,0.6396153,-0.0,0.7850998
4.19904,-0.0,-0.0,-0.0,-0.0,0.57839423,0.75370973,-0.0,0.78820425
4.2352,-0.0,0.010469047,-0.0,-0.0,0.6056509,0.65807045,-0.0,0.89897466
4.27136,-0.0,0.03833608,0.00014176278,-0.0,0.64507085,0.41550878,-0.0,1.107192
4.30752,-0.0,0.048364807,1.594843e-05,-0.0,0.6766774,0.2741141,-0.0,1.320891
4.34368,-0.0,0.022094436,-0.0,-0.0,0.7044866,0.46845257,-0.0,1.383581
4.37984,-0.0,0.07236806,4.5750454e-05,-0.0,0.76054925,0.64448255,-0.0,1.2906601
4.416,-0.0,0.14406419,9.103347e-06,-0.0,0.8254477,0.5579453,-0.0,1.1744862
